Status,Server,Name,Model,Processor,Proc. Count,Memory,Serial Number,iLO,iLO FW,ROM Version,Appliance Name
OK,"SBICDCENCL13, bay 7",SCCPPBLRESX169.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,393216,SGH110T31P,"1. fe80:0:0:0:b67a:f1ff:fe59:8312, 2. 172.16.43.15",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL35, bay 7",sccppblresx378.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,2,393216,SGH010TH1Y,"1. fe80:0:0:0:9640:c9ff:fe2a:80, 2. 172.16.43.250",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL37, bay 7", SCCPPBLRAPP460,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,131072,SGH126YY26,"1. fe80:0:0:0:b67a:f1ff:febf:6b0e, 2. 172.16.43.165",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL36, bay 7",sccppblresx215.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,393216,SGH136TWTZ,"1. fe80:0:0:0:9640:c9ff:fe41:68b8, 2. 172.16.43.164",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL22, bay 7",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRDH,"1. fe80:0:0:0:b67a:f1ff:feb2:120e, 2. 172.16.43.38",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
OK,"SBICDCENCL52, bay 7",sccppblresx284.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,393216,SGH210S1SC,"1. fe80:0:0:0:5eba:2cff:fe43:79a, 2. 172.16.43.74",2.71 Jul 04 2022,I44 v1.60 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL23, bay 7",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,262144,SGH126YY2B,"1. fe80:0:0:0:b67a:f1ff:febf:5be4, 2. 172.16.43.39",2.55 Oct 01 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL30, bay 7",SCCPPBLRESX312.sbicmc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,524288,SGH951Y5NF,"1. fe80:0:0:0:af1:eaff:fe82:d3c6, 2. 172.16.43.89",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL39, bay 7",sccppblresx243.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH126SCJ1,"1. fe80:0:0:0:b67a:f1ff:fec0:7272, 2. 172.16.43.189",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL40, bay 7",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,2,262144,SGH126YYD3,"1. fe80:0:0:0:b67a:f1ff:febf:da56, 2. 172.16.43.209",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
