Health State,Power State,Connection State,Name,IP Address,Identifier,Model,Type,Chassis Name,Slot Name,Managed State
Normal,Online,Connected,ENCL11-13-SCCPPBLRESX273,172.16.41.46,JQH79V2,PowerEdge M640,Compute,,,Managed
Normal,Online,Connected,ENCL03-7,172.16.40.92; 172.16.41.47,441S8T2,PowerEdge M640,Compute,SBICDCENCL03-CMC1,ENCL03-7,Managed
Normal,Online,Connected,ENCL11-11,172.16.40.93; 172.16.41.44,JMS21H2,PowerEdge M640,Compute,SBICDCENCL03-CMC1,ENCL03-8,Managed
Normal,Online,Connected,ENCL11-1-SCCPPBLRESX276,172.16.41.34,JMS3H82,PowerEdge M640,Compute,,,Managed
Normal,Online,Connected,ENCL11-15-SCCPPBLRESX279,172.16.41.48,JMS31H2,PowerEdge M640,Compute,,,Managed
Normal,Online,Connected,ENCL14-15-SCCPPBLRDBO048,172.16.41.72,JP5YSR2,PowerEdge M640,Compute,SBICDCENCL14-CMC1,sccppblrdbo048,Managed
Normal,Offline,Connected,ENCL14-4-SCCPUBLRDBO050,172.16.41.61,JMS1VG2,PowerEdge M640,Compute,SBICDCENCL14-CMC1,sccpublrdbo050,Managed
Normal,Online,Connected,ENCL47-11-SCCPUBLROVS11,172.16.34.87,BSXB0T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,ENCL47-11-SCCPUBLROVS11,Managed
Normal,Online,Connected,ENCL47-1-SCCPUBLROVS12,172.16.34.77,BVN70T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,ENCL47-1-SCCPUBLROVS12,Managed
Normal,Offline,Connected,ENCL14-06-SCCPPBLRDBO1002,172.16.41.63,JMS2V72,PowerEdge M640,Compute,SBICDCENCL14-CMC1,sccppblrapp030,Managed
Normal,Offline,Connected,ENCL14-14-SCCPPBLRDBO1003,172.16.41.71,BVMD0T2,PowerEdge M640,Compute,SBICDCENCL14-CMC1,sccppblrapp059,Managed
Normal,Offline,Connected,ENCL47-09,172.16.34.85,JF57BS2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,ENCL47-09,Managed
Normal,Online,Connected,ENCL47-4-SCCPPBLROVS32,172.16.34.80,4C8P8T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,ENCL47-4-SCCPPBLROVS32,Managed
Normal,Online,Connected,ENCL47-05,172.16.34.81,442P8T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,SCCPTBLRESX399.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL47-SCCPTBLRESX336,172.16.34.79,3W78BW2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,SCCPTBLRESX336.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL47-SCCPTBLRESX337,172.16.34.86,BVPB0T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,SCCPTBLRESX337.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL47-SCCPTBLRESX347,172.16.34.92,BVMC0T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,SCCPTBLRESX347.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL47-15,172.16.34.91,4C9S8T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,SCCPTBLRESX70.SBICMPC.INTERNAL,Managed
Normal,Online,Connected,ENCL47-6-SCCPUBLRDBO392,172.16.34.82,JP5XTK2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,sccpublrdbo392,Managed
Normal,Online,Connected,SBICDCENCL45-CMC1,172.16.34.208,C1XQB03,PowerEdge M1000e,Chassis,,,Managed
Normal,Online,Connected,ENCL45-07-SCCPUBLRAPP052,172.16.34.222,JF59BS2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,SCCPUBLRAPP052,Managed
Normal,Online,Connected,ENCL45-09-SCCPTBLRESX322,172.16.34.224,BVM80T2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccptblresx67.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL45-16,172.16.34.231,JMS2LG2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccppblrdbo380,Managed
Normal,Online,Connected,ENCL45-14-SCCPTBLRESX403,172.16.34.229,4C5W8T2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,SCCPTBLRESX403.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL45-13-SCCPTBLRESX402,172.16.34.228,JP5T7N2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,SCCPTBLRESX402.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL45-15-SCCPTBLRESX404,172.16.34.230,BVND0T2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,SCCPTBLRESX404.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL45-12-SCCPTBLRESX323,172.16.34.227,JP5WFL2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccppblresx96.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL45-06-SCCPTBLRESX319,172.16.34.221,JMS39R2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccptblresx95.sbicmpc.internal,Managed
Normal,Online,Connected,ENCL45-11-SCCPTBLRESX321,172.16.34.226,BVN90T2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccppblresx93,Managed
Normal,Online,Connected,ENCL45-05,172.16.34.220,JMS1T92,PowerEdge M640,Compute,SBICDCENCL45-CMC1,ENCL45-05,Managed
Normal,Online,Connected,ENCL45-2-SCCPTBLRESX317,172.16.34.217,3W6FBW2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccptblresx103,Managed
Normal,Online,Connected,ENCL45-3-SCCPTBLRESX318,172.16.34.218,JP5V9M2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,dhcp-215.osprov.eds.com,Managed
Normal,Online,Connected,ENCL45-10-SCCPTBLRESX320,172.16.34.225,BVP60T2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccptblresx66.sbicmpc.internal,Managed
Unknown,Unknown,Disconnected,SBICDCENCL47-CMC1,172.16.34.69,4C0V8T2,PowerEdge M1000e,Chassis,,,Managed
Normal,Online,Connected,ENCL47-02-SCCPUBLRAPP053,172.16.34.78,JF5BBS2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,SCCPUBLRAPP053,Managed
Normal,Offline,Connected,ENCL47-13,172.16.34.89,BSY40T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,ENCL47-13,Managed
Normal,Offline,Connected,ENCL47-12,172.16.34.88,4C4V8T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,ENCL47-12,Managed
Normal,Online,Connected,SBICDCENCL28-CMC1,172.16.34.93,632P8T2,PowerEdge M1000e,Chassis,,,Managed
Normal,Offline,Connected,ENCL28-08,172.16.34.108,4C5V8T2,PowerEdge M640,Compute,SBICDCENCL28-CMC1,sccppblrdbo379,Managed
Normal,Offline,Connected,ENCL28-05,172.16.34.105,442N8T2,PowerEdge M640,Compute,SBICDCENCL28-CMC1,ENCL28-05,Managed
Normal,Offline,Connected,ENCL28-06,172.16.34.106,JF58BS2,PowerEdge M640,Compute,SBICDCENCL28-CMC1,ENCL28-06,Managed
Unknown,Unknown,Disconnected,ENCL28-10,172.16.34.110,JMS3CD2,PowerEdge M640,Compute,,,Managed
Normal,Online,Connected,ENCL47-3-SCCPTBLRESX324,172.16.34.219,JMS2VG2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,SCCPTBLRESX71.SBICMPC.INTERNAL,Managed
Normal,Online,Connected,ENCL45-1-SCCPTBLRESX316,172.16.34.216,3W6BBW2,PowerEdge M640,Compute,SBICDCENCL45-CMC1,sccptblresx121,Managed
Normal,Offline,Connected,ENCL14-5-SCCPPBLRDBO997,172.16.41.62,JMS2TR2,PowerEdge M640,Compute,SBICDCENCL14-CMC1,ENCL14-5-SCCPPBLRDBO997,Managed
Normal,Online,Connected,ENCL03-13,172.16.40.98,JMS2CD2,PowerEdge M640,Compute,SBICDCENCL03-CMC1,ENCL03-13,Managed
Normal,Online,Connected,ENCL03-14,172.16.40.99,JMS2H82,PowerEdge M640,Compute,SBICDCENCL03-CMC1,ENCL03-14,Managed
Normal,Online,Connected,172.16.41.194,172.16.41.194,53BGRZ2,PowerEdge MX7000,Chassis,,,Managed
Normal,Online,Connected,iDRAC-53GCRZ2,172.16.41.202,53GCRZ2,PowerEdge MX740c,Compute,172.16.41.194,Sled-1,Proxied
Normal,Online,Connected,iDRAC-7WLWJF3,172.16.41.203,7WLWJF3,PowerEdge MX740c,Compute,172.16.41.194,Sled-2-SCCPTBLRESX502,Proxied
Normal,Online,Connected,iDRAC-9WLWJF3,172.16.41.204,9WLWJF3,PowerEdge MX740c,Compute,172.16.41.194,Sled-3-SCCPTBLRESX476,Proxied
Normal,Online,Connected,iDRAC-6WLWJF3,172.16.41.205,6WLWJF3,PowerEdge MX740c,Compute,172.16.41.194,Sled-4-SCCPTBLRESX507,Proxied
Normal,Online,Connected,iDRAC-8WLWJF3,172.16.41.206,8WLWJF3,PowerEdge MX740c,Compute,172.16.41.194,Sled-5-SCCPTBLRESX508,Proxied
Normal,Online,Connected,172.16.41.196,172.16.41.196,538JRZ2,MX9116n Fabric Engine,Network IOM,172.16.41.194,IOM-A1,Proxied
Normal,Online,Connected,172.16.41.197,172.16.41.197,53DKRZ2,MX9116n Fabric Engine,Network IOM,172.16.41.194,IOM-A2,Proxied
Normal,Online,Connected,SBICDCENCL44-CMC1,172.16.67.200,HF98BS2,PowerEdge M1000e,Chassis,,,Managed
Normal,Online,Connected,ENCL44-09,172.16.67.216,JMS2YC2,PowerEdge M640,Compute,SBICDCENCL44-CMC1,ENCL44-09,Managed
Unknown,Unknown,Disconnected,ENCL44-12,172.16.67.219,3W6HBW2,PowerEdge M640,Compute,,,Managed
Unknown,Unknown,Disconnected,ENCL44-03-Test,172.16.67.210,4C7V8T2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,SCCPTBLRESX398.sbicmpc.internal,Managed
Unknown,Unknown,Disconnected,ENCL28-1-SCCPPBLRESX349,172.16.67.218,BVM70T2,PowerEdge M640,Compute,SBICDCENCL28-CMC1,sccppblresx349.sbicmpc.internal,Managed
Unknown,Unknown,Disconnected,ENCL44-14,172.16.67.221,FWR8BW2,PowerEdge M640,Compute,SBICDCENCL47-CMC1,sccppblrdbo252,Managed
Normal,Offline,Connected,ENCL44-16,172.16.67.223,4C7P8T2,PowerEdge M640,Compute,SBICDCENCL44-CMC1,ENCL44-16,Managed
Unknown,Unknown,Disconnected,ENCL44-15,172.16.41.70,JF0BBS2,PowerEdge M640,Compute,SBICDCENCL14-CMC1,ENCL44-15,Managed
Normal,Online,Connected,SBICDCENCL44-SWA1,172.16.67.202,HFF7BS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL44-CMC1,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL44-SWC1,172.16.67.206,HFJ9BS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL44-CMC1,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL44-SWA2,172.16.67.203,HFFDBS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL44-CMC1,MXL 10/40GbE,Monitored
Normal,Online,Connected,SBICDCENCL44-SWC2,172.16.67.207,HFJ7BS2,MXL 10/40GE switch/router,Network Switch,SBICDCENCL44-CMC1,MXL 10/40GbE,Monitored
